club,city,versions
1. FC Heidenheim 1846,Heidenheim,15|16|17|18|19|20
1. FC Kaiserslautern,Kaiserslautern,15|16|17|18|19|20
1. FC Köln,Köln,15|16|17|18|19|20
1. FC Magdeburg,Magdeburg,18|19|20
1. FC Nürnberg,Nürnberg,15|16|17|18|19|20
1. FC Union Berlin,Berlin,15|16|17|18|19|20
1. FSV Mainz 05,Mainz,15|16|17|18|19|20
AC Ajaccio,Ajaccio,15|16|17|18|19|20
AC Arles Avignon,Avignon,15
AC Barnechea,Lo Barnechea,15
AC Horsens,Horsens,17|18|19|20
AD Alcorcón,Alcorcón,15|16|17|18|19|20
ADO Den Haag,Den Haag,15|16|17|18|19|20
AEK Athens,Athens,18|19|20
AFC Eskilstuna,Eskilstuna,18|20
AFC Wimbledon,London,15|16|17|18|19|20
AIK,Solna,15|16|17|18|19|20
AJ Auxerre,Auxerre,15|16|17|18|19|20
AS Béziers,Béziers,19
AS Monaco,Monaco,15|16|17|18|19|20
AS Nancy Lorraine,Nancy,15|16|17|18|19|20
AS Saint-Étienne,Saint-Étienne,15|16|17|18|19|20
AZ Alkmaar,Alkmaar,15|16|17|18|19|20
Aalborg BK,Aalborg,15|16|17|18|19|20
Aalesunds FK,Ålesund,15|18
Aarhus GF,Aarhus,16|17|18|19|20
Aberdeen,Aberdeen,15|16|17|18|19|20
Abha Club,Abha,20
Academica Clinceni,Clinceni,20
Accrington Stanley,Accrington,15|16|17|18|19|20
Adanaspor,Adana,17
Adelaide United,Adelaide,15|16|17|18|19|20
Ajax,Amsterdam,15|16|17|18|19|20
Akhisar Belediyespor,Akhisar,15|16|17|18|19
Al Adalah,Al-Hasa,20
Al Ahli,Jeddah,15|16|17|18|19|20
Al Ain FC,Al Ain,20
Al Batin,Hafar al-Batin,17|18|19
Al Faisaly,Harmah,15|16|17|18|19|20
Al Fateh,Al-Hasa,15|16|17|18|19|20
Al Fayha,Al Majma'ah,18|19|20
Al Hazem,Ar Rass,19|20
Al Hilal,Riyadh,15|16|17|18|19|20
Al Ittihad,Jeddah,15|16|17|18|19|20
Al Khaleej,Saihat,15|16|17
Al Nassr,Riyadh,15|16|17|18|19|20
Al Orobah,Sakakah,15
Al Qadisiyah,Khobar,16|17|18|19
Al Raed,Buraidah,15|16|17|18|19|20
Al Shabab,Riyadh,15|16|17|18|19|20
Al Shoulla,Al-Kharj,15
Al Taawoun,Buraidah,15|16|17|18|19|20
Al Wehda,Mecca,16|17|19|20
Alanyaspor,Alanya,17|18|19|20
Albacete BP,Albacete,15|16|18|19|20
Albirex Niigata,Niigata,17|18
Alianza Petrolera,Barrancabermeja,15|16|17|18|19|20
Amiens SC,Amiens,17|18|19|20
Amkar Perm,Perm,15|16|17|18
América FC (Minas Gerais),Belo Horizonte,17|19
América de Cali,Cali,18|19|20
Angers SCO,Angers,15|16|17|18|19|20
Antalyaspor,Antalya,16|17|18|19|20
Argentina,Buenos Aires,17|19
Argentinos Juniors,Buenos Aires,16|18|19|20
Arka Gdynia,Gdynia,17|18|19|20
Arsenal,London,15|16|17|18|19|20
Arsenal Tula,Tula,15|17|18
Arsenal de Sarandí,Sarandí,15|16|17|18|20
Ascoli,Ascoli Piceno,16|17|18|19|20
Associação Académica de Coimbra,Coimbra,15|16
Aston Villa,Birmingham,15|16|17|18|19|20
Astra Giurgiu,Giurgiu,20
Atalanta,Bergamo,15|16|17|18|19|20
Athletic Club de Bilbao,Bilbao,15|16|17|18|19|20
Athlone Town,Athlone,15
Atiker Konyaspor,Konya,15|16|17|18|19|20
Atlanta United,Atlanta,18|19|20
Atlético Bucaramanga,Bucaramanga,17|18|19|20
Atlético Clube Goianiense,Goiânia,18
Atlético Huila,Neiva,15|16|17|18|19|20
Atlético Madrid,Madrid,15|16|17|18|19|20
Atlético Mineiro,Belo Horizonte,17|18|19|20
Atlético Nacional,Medellín,15|16|17|18|19|20
Atlético Paranaense,Curitiba,17|18|19|20
Atlético Tucumán,San Miguel de Tucumán,17|18|19|20
Atlético de Rafaela,Rafaela,15|16|17
Atlético de San Luis,San Luis Potosí,20
Audax Italiano,Santiago,15|16|17|18|19|20
Australia,Canberra,15|16|17|18|19|20
Austria,Vienna,15|16|20
Avaí FC,Florianópolis,17|18|20
Avellino,Avellino,15|16|17|18|19
Avispa Fukuoka,Fukuoka,17
BB Erzurumspor,Erzurum,19
BK Häcken,Gothenburg,15|16|17|18|19|20
